iter	Passed	Remaining
0	161	161773
1	163	81445
2	164	54560
3	165	41115
4	166	33040
5	167	27671
6	167	23822
7	169	21031
8	170	18805
9	172	17041
10	173	15562
11	174	14328
12	174	13285
13	175	12392
14	176	11614
15	177	10937
16	178	10335
17	179	9800
18	180	9323
19	181	8891
20	182	8510
21	184	8199
22	185	7890
23	186	7594
24	187	7320
25	188	7066
26	189	6829
27	190	6610
28	191	6407
29	192	6220
30	193	6043
31	194	5877
32	195	5725
33	196	5579
34	198	5463
35	199	5339
36	200	5216
37	201	5098
38	202	4985
39	203	4878
40	204	4776
41	205	4679
42	206	4586
43	207	4498
44	208	4414
45	208	4333
46	209	4256
47	211	4202
48	213	4139
49	214	4076
50	215	4010
51	216	3946
52	217	3885
53	218	3827
54	219	3769
55	220	3714
56	221	3660
57	222	3609
58	223	3560
59	224	3511
60	226	3485
61	227	3444
62	228	3403
63	229	3359
64	230	3317
65	231	3277
66	232	3238
67	233	3199
68	234	3162
69	235	3126
70	236	3090
71	237	3055
72	238	3022
73	238	2990
74	239	2958
75	242	2951
76	243	2923
77	244	2893
78	245	2864
79	246	2835
80	247	2807
81	248	2780
82	248	2749
83	249	2724
84	250	2698
85	251	2673
86	252	2650
87	253	2627
88	254	2604
89	256	2596
90	258	2580
91	259	2561
92	260	2541
93	261	2522
94	263	2511
95	264	2491
96	265	2471
97	266	2452
98	267	2433
99	268	2414
100	269	2396
101	271	2390
102	272	2375
103	273	2358
104	274	2342
105	275	2326
106	276	2310
107	277	2294
108	278	2278
109	279	2262
110	280	2247
111	281	2231
112	282	2216
113	283	2201
114	284	2186
115	286	2180
116	287	2169
117	288	2157
118	289	2143
119	290	2130
120	291	2117
121	292	2102
122	293	2090
123	294	2077
124	295	2065
125	295	2053
126	296	2040
127	297	2028
128	298	2017
129	299	2006
130	301	1998
131	302	1988
132	303	1977
133	304	1966
134	305	1954
135	306	1944
136	307	1933
137	307	1923
138	308	1912
139	309	1902
140	310	1892
141	311	1881
142	312	1874
143	314	1871
144	316	1865
145	317	1856
146	318	1847
147	319	1838
148	320	1829
149	321	1820
150	322	1811
151	323	1802
152	323	1793
153	324	1784
154	325	1776
155	326	1768
156	327	1760
157	329	1756
158	331	1753
159	333	1748
160	333	1738
161	334	1731
162	335	1723
163	336	1715
164	337	1708
165	338	1700
166	339	1693
167	340	1685
168	341	1678
169	342	1671
170	343	1663
171	345	1661
172	346	1656
173	347	1650
174	348	1643
175	350	1638
176	351	1633
177	352	1629
178	354	1623
179	354	1617
180	355	1610
181	356	1603
182	357	1597
183	358	1591
184	361	1591
185	362	1587
186	363	1581
187	364	1574
188	365	1569
189	367	1565
190	368	1559
191	369	1553
192	370	1547
193	371	1541
194	371	1535
195	372	1529
196	374	1528
197	376	1525
198	377	1520
199	378	1514
200	379	1509
201	380	1503
202	381	1498
203	382	1492
204	383	1487
205	384	1481
206	385	1476
207	386	1470
208	387	1465
209	388	1460
210	390	1460
211	391	1455
212	392	1451
213	394	1448
214	395	1443
215	396	1438
216	397	1432
217	398	1427
218	398	1422
219	399	1417
220	400	1412
221	401	1407
222	402	1402
223	404	1401
224	405	1397
225	406	1392
226	407	1387
227	408	1382
228	409	1378
229	410	1373
230	411	1369
231	412	1364
232	413	1359
233	413	1355
234	414	1350
235	415	1346
236	416	1341
237	417	1337
238	418	1332
239	420	1331
240	421	1326
241	422	1322
242	422	1317
243	423	1313
244	424	1308
245	425	1304
246	426	1300
247	427	1296
248	428	1292
249	429	1287
250	430	1283
251	431	1279
252	431	1275
253	432	1271
254	435	1272
255	436	1268
256	437	1265
257	438	1262
258	440	1260
259	442	1258
260	443	1256
261	444	1253
262	445	1249
263	446	1245
264	447	1242
265	450	1242
266	451	1238
267	452	1235
268	453	1232
269	454	1228
270	455	1225
271	456	1222
272	457	1218
273	458	1215
274	459	1212
275	460	1208
276	462	1206
277	463	1202
278	465	1203
279	466	1200
280	467	1197
281	468	1193
282	469	1190
283	472	1190
284	473	1188
285	475	1186
286	476	1183
287	477	1181
288	479	1180
289	482	1180
290	484	1179
291	485	1176
292	486	1173
293	487	1170
294	488	1166
295	489	1163
296	490	1160
297	491	1156
298	492	1153
299	493	1150
300	496	1152
301	497	1149
302	498	1145
303	499	1142
304	500	1139
305	501	1136
306	502	1133
307	503	1130
308	504	1127
309	504	1123
310	505	1120
311	506	1117
312	507	1114
313	509	1113
314	511	1111
315	512	1109
316	513	1106
317	514	1103
318	515	1100
319	516	1097
320	517	1094
321	518	1091
322	519	1088
323	519	1084
324	520	1081
325	521	1078
326	522	1075
327	524	1075
328	526	1073
329	527	1070
330	528	1067
331	529	1065
332	530	1063
333	531	1060
334	532	1057
335	533	1054
336	534	1051
337	535	1048
338	536	1046
339	537	1043
340	538	1040
341	540	1039
342	541	1038
343	543	1035
344	544	1033
345	545	1031
346	546	1029
347	547	1026
348	548	1023
349	549	1020
350	550	1017
351	551	1014
352	552	1012
353	553	1009
354	555	1009
355	556	1007
356	557	1004
357	559	1002
358	560	1001
359	561	999
360	562	996
361	563	993
362	564	991
363	565	988
364	566	985
365	567	983
366	568	981
367	570	980
368	571	977
369	572	975
370	574	973
371	575	970
372	576	968
373	577	966
374	578	964
375	579	961
376	580	959
377	581	956
378	582	953
379	583	951
380	585	951
381	586	949
382	587	947
383	588	944
384	589	942
385	590	939
386	591	937
387	592	934
388	593	932
389	594	930
390	595	927
391	596	925
392	597	922
393	598	920
394	600	920
395	601	917
396	602	915
397	603	913
398	604	911
399	605	908
400	606	906
401	607	904
402	608	901
403	609	899
404	610	896
405	611	894
406	612	892
407	613	889
408	615	888
409	616	886
410	617	884
411	618	882
412	619	879
413	620	877
414	620	875
415	621	872
416	622	870
417	623	868
418	624	866
419	625	863
420	626	861
421	627	859
422	628	856
423	630	856
424	631	854
425	632	852
426	633	849
427	634	847
428	635	845
429	636	843
430	637	841
431	637	838
432	638	836
433	639	834
434	640	832
435	641	830
436	642	827
437	643	825
438	646	826
439	647	824
440	648	822
441	649	820
442	650	818
443	651	816
444	652	814
445	653	812
446	654	810
